doi,type of publication,repository link,link to publication,title,authors,title of the journal etc,number etc,relevant pages,ISBN,publisher,place of publication,year of publication,open access,peer reviewed
10.1038/s41467-018-06628-w,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6173769/,http://dx.doi.org/10.1038/s41467-018-06628-w,Lateral inhibition by Martinotti interneurons is facilitated by cholinergic inputs in human and mouse neocortex,"Joshua Obermayer, Tim S. Heistek, Amber Kerkhofs, Natalia A. Goriounova, Tim Kroon, Johannes C. Baayen, Sander Idema, Guilherme Testa-Silva, Jonathan J. Couey, Huibert D. Mansvelder","Nature Communications, Vol. 9, No. 1",,,,"Springer Nature America, Inc",,2018,Gold,True
10.3389/fnbeh.2018.00231,Article in Journal,https://doi.org/10.3389/fnbeh.2018.00231,http://dx.doi.org/10.3389/fnbeh.2018.00231,Audiovisual Integration Enhances Stimulus Detection Performance in Mice,"Guido T. Meijer, Jean L. Pie, Thomas L. Dolman, Cyriel M. A. Pennartz, Carien S. Lansink","Frontiers in Behavioral Neuroscience, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.20868/UPM.thesis.52440,Thesis Or Dissertation,http://oa.upm.es/52440/1/BOJAN_MIHALJEVIC-2.pdf,http://dx.doi.org/10.20868/upm.thesis.52440,Contributions to Bayesian network classifiers and interneuron classification,Bojan Mihaljevic,None,,,,Universidad Politecnica de Madrid - University Library,,2018,Gold,False
10.1016/j.tins.2018.08.002,Article in Journal,https://www.cell.com/trends/neurosciences/fulltext/S0166-2236(18)30209-1,http://dx.doi.org/10.1016/j.tins.2018.08.002,The Combinatorial Creature: Cortical Phenotypes within and across Lifetimes,"Leah A. Krubitzer, Tony J. Prescott","Trends in Neurosciences, Vol. 41, No. 10",,,,Elsevier BV,,2018,Gold,True
10.1109/IROS.2018.8594019,Publication In Conference Or Workshop,None,http://dx.doi.org/10.1109/iros.2018.8594019,Exploring Vestibulo-Ocular Adaptation in a Closed-Loop Neuro-Robotic Experiment Using STDP. A Simulation Study,"Francisco Naveros, Jesus A. Garrido, Angelo Arleo, Eduardo Ros, Niceto R. Luque",2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,,,IEEE,,2018,No,True
10.3389/fncel.2018.00331,Article in Journal,https://www.frontiersin.org/articles/10.3389/fnins.2018.00810/full?utm_source=FRN&utm_medium=EMAIL_IRIS&utm_campaign=EMI_FRN_ARTICLEPUBLISHED_FOLLOWERS&utm_content=ARTICLE_TITLE,http://dx.doi.org/10.3389/fncel.2018.00331,Prominent Changes in Cerebro-Cerebellar Functional Connectivity During Continuous Cognitive Processing,"Gloria Castellazzi, Stefania D. Bruno, Ahmed T. Toosy, Letizia Casiraghi, Fulvia Palesi, Giovanni Savini, Egidio D’Angelo, Claudia Angela Michela Gandini Wheeler-Kingshott","Frontiers in Cellular Neuroscience, Vol. 12",,,,Frontiers Media SA,,2018,Green,False
None,Paper In Conference Or Workshop,None,https://dl.acm.org/citation.cfm?id=3283555,Multiple alignment of packet sequences for efficient communication in a many-core neuromorphic system: work-in-progress,"Gianvito Urgese, Luca Peres, Francesco Barchi, Enrico Macii, Andrea Acquaviva",None,,,,"IEEE Press Piscataway, NJ, USA ©2018",,2018,Green,True
None,Publication In Conference Or Contribution To Book,None,https://dl.acm.org/citation.cfm?id=3283556,Impact of graph partitioning on SNN placement for a multi-core neuromorphic architecture: work-in-progress,"Francesco Barchi, Gianvito Urgese, Enrico Macii, Andrea Acquaviva",None,,,,"IEEE Press Piscataway, NJ, USA ©2018",,2018,Green,True
10.1101/430405,Article in Journal,https://www.biorxiv.org/content/10.1101/430405v3,http://dx.doi.org/10.1101/430405,Cholinergic switch between two different types of slow waves in cerebral cortex,"Trang-Anh Estelle Estelle Nghiem, Nuria Tort-Colet, Tomasz Gorski, Ulisse Ferrari, Shayan Moghimyfiroozabad, Jennifer Sarah Goldman, Bartosz Telenczuk, Cristiano Capone, Thierry Bal, Matteo di Volo, Alain Destexhe",BioRxiv,,,,Cold Spring Harbor Laboratory,,2018,Green,False
10.1002/glia.23550,Article in Journal,http://dx.doi.org/10.1002/glia.23550,http://dx.doi.org/10.1002/glia.23550,Defined astrocytic expression of human amyloid precursor protein in Tg2576 mouse brain,"Tina Heiland, Ulrike Zeitschel, Maja A. Puchades, Peer-Hendrik Kuhn, Stefan F. Lichtenthaler, Jan G. Bjaalie, Maike Hartlage-Rübsamen, Steffen Roßner, Corinna Höfling",Glia,,,,Wiley,,2018,Gold,True
None,Paper In Conference Or Workshop,https://arxiv.org/abs/1803.09574,https://papers.nips.cc/paper/7359-long-short-term-memory-and-learning-to-learn-in-networks-of-spiking-neurons.pdf,Long short-term memeory and learning-to-learn in networks of spiking neurons,"Guillaume Bellec, Darjan Salaj, Anand Subramoney, Robert Legenstein, Wolfgang Maass",None,,,,NIPS 2018,,2018,Gold,False
10.1007/978-3-030-01424-7_45,Publication In Conference Or Contribution To Book,https://www.semanticscholar.org/paper/A-Deep-Predictive-Coding-Network-for-Inferring-Dora-Pennartz/68e1e566fde2723c9eebca1ed3449375de27c892,http://dx.doi.org/10.1007/978-3-030-01424-7_45,A Deep Predictive Coding Network for Inferring Hierarchical Causes Underlying Sensory Inputs,"Shirin Dora, Cyriel Pennartz, Sander Bohte",Artificial Neural Networks and Machine Learning - ICANN 2018,,,,Springer International Publishing,,2018,No,True
10.1007/978-3-030-01418-6_21,Publication In Conference Or Contribution To Book,None,http://dx.doi.org/10.1007/978-3-030-01418-6_21,Learning Continuous Muscle Control for a Multi-joint Arm by Extending Proximal Policy Optimization with a Liquid State Machine,"Juan Camilo Vasquez Tieck, Marin Vlastelica Pogančić, Jacques Kaiser, Arne Roennau, Marc-Oliver Gewaltig, Rüdiger Dillmann",Artificial Neural Networks and Machine Learning - ICANN 2018,,,,Springer International Publishing,,2018,No,True
10.1007/978-3-030-01418-6_24,Publication In Conference Or Contribution To Book,None,http://dx.doi.org/10.1007/978-3-030-01418-6_24,Microsaccades for Neuromorphic Stereo Vision,"Jacques Kaiser, Jakob Weinland, Philip Keller, Lea Steffen, J. Camilo Vasquez Tieck, Daniel Reichard, Arne Roennau, Jörg Conradt, Rüdiger Dillmann",Artificial Neural Networks and Machine Learning - ICANN 2018,,,,Springer International Publishing,,2018,No,True
10.3389/fnana.2018.00075,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6173061/,http://dx.doi.org/10.3389/fnana.2018.00075,Derivation of Fiber Orientations From Oblique Views Through Human Brain Sections in 3D-Polarized Light Imaging,"Daniel Schmitz, Sascha E. A. Muenzing, Martin Schober, Nicole Schubert, Martina Minnerop, Thomas Lippert, Katrin Amunts, Markus Axer","Frontiers in Neuroanatomy, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.12751/nncn.bc2018.0112,Publication In Conference Or Workshop,None,https://abstracts.g-node.org/abstracts/e7eb4de9-88cf-407b-9587-c2a728c9fdf0,Pattern recognition using latency coding in multilayer spiking neural networks,"Brian Gardner, André Grüning",None,,,,None,,2018,Green,False
10.7554/eLife.37683,Article in Journal,https://elifesciences.org/articles/37683,http://dx.doi.org/10.7554/elife.37683,Conditioning sharpens the spatial representation of rewarded stimuli in mouse primary visual cortex,"Pieter M Goltstein, Guido T Meijer, Cyriel MA Pennartz","eLife, Vol. 7",,,,"eLife Sciences Publications, Ltd",,2018,Gold,True
